Gene_ID	ES_rep1	ES_rep2	TN_rep1	TN_rep2
382253	83	47	210	203
408062	80	43	53	76
268747	4	7	236	346
554292	2	1	0	0
330496	0	0	0	0
232680	12	3	1	1
232879	41	13	26	37
239659	3	0	2	3
244049	162	105	35	13
381832	0	0	0	0
432825	0	0	0	0
435965	29	22	213	393
544710	0	0	0	0
100042149	13	9	23	23
545055	0	0	0	0
110253	359	220	67	157
545276	5	1	13	34
545288	0	0	0	0
545370	69	13	84	208
545384	0	0	0	0
545938	94	27	13	21
546049	29	17	1	1
12607	6605	2363	892	584
110532	109	61	293	439
229588	7	0	0	0
109663	0	0	0	0
22720	642	294	455	359
329575	87	32	41	42
434769	1	0	0	0
545554	4	2	18	17
30056	169	90	127	143
140810	479	173	1564	1874
103080	636	309	119	170
333789	940	287	182	434
71137	3	1	33	80
69556	487	326	504	423
216964	17	9	5	16
234374	499	336	130	150
192986	28	13	18	23
327958	2	0	68	90
384763	156	68	112	129
52897	5	3	95	160
545812	0	0	0	1
104009	93	49	163	282
240068	105	50	341	288
381305	1381	408	445	669
80720	19	14	7	16
18708	261	111	1833	1401
269473	516	230	717	715
18212	16	4	1982	2220
382282	0	0	0	1
385343	0	1	0	0
545013	0	0	0	0
547168	0	0	0	0
11909	947	310	447	589
212772	1691	406	453	449
213573	27	15	8	4
70829	718	239	238	318
330463	11	8	44	43
13052	909	276	5384	3955
547349	4	1	5	7
384813	0	0	0	0
432602	0	0	0	0
17196	30	16	124	91
277414	32	51	38	42
22339	371	189	291	303
547160	0	0	0	0
21985	677	340	72	97
13347	80	39	60	80
21419	8	2	102	123
20908	1911	1071	157	247
224938	631	199	2930	2406
50935	64	55	44	76
140917	63	18	31	26
21356	274	141	184	264
574081	0	0	0	0
16593	545	267	4036	4336
20167	21	29	148	206
28010	157	136	25	31
574418	0	0	3	5
11517	9	9	494	595
74670	102	39	207	171
66317	851	414	201	152
76117	0	0	1	3
18393	3848	1508	255	285
218877	1	1	0	0
546055	0	0	0	0
574402	0	0	9	8
574403	9	6	64	77
574417	11	2	3	1
436002	0	0	0	0
24069	49	22	16	33
